Entity,Code,Year,2020s,2010s,2000s,1990s,1980s,1970s,1960s,1950s,1940s
Andorra,AND,8,0.6043688,0.40081653,-0.30403882,-0.07739391,-0.7667097,-1.8892866,-1.7701002,-1.6648848,-0.8347853
Andorra,AND,9,0.23648243,0.65722215,0.041279793,-0.47694224,0.6386858,-0.8001814,-0.24015331,-0.19679698,0.29357776
Andorra,AND,10,0.89720565,0.9613231,0.19864912,-0.9089467,-0.24673358,-1.9097065,-0.5684468,-1.1793416,-1.1940328
Andorra,AND,11,1.4437276,0.021516895,-0.36802477,0.017107105,0.4551595,-0.92194927,-1.0493357,-0.8644084,-0.92929494
Andorra,AND,12,1.382786,0.8579752,-0.6916158,-0.48426113,-0.45000204,-0.59925437,-2.3317068,-0.79670316,-3.2651544
Angola,AGO,1,0.49378046,0.22129421,-0.16667691,-0.16717319,-0.26777154,-0.6914455,-0.7332331,-0.720912,-0.6674921
Angola,AGO,2,0.70104885,0.36402607,-0.23757954,-0.20790729,-0.31384125,-0.54859143,-0.84807074,-0.60215056,-0.53022194
Angola,AGO,3,0.676233,0.32498378,-0.2918335,-0.11934147,-0.22845821,-0.6540915,-0.8120724,-0.6011114,-0.60974866
Angola,AGO,4,0.45142898,0.24670601,-0.28003997,-0.044718552,-0.26703206,-0.60661185,-0.650243,-0.5937084,-0.39138144
Angola,AGO,5,0.18742982,0.33391017,-0.30862942,-0.105310634,-0.45429936,-1.0702534,-1.1415529,-0.9968044,-0.5427715
Angola,AGO,6,-0.044239424,0.16668034,-0.08803101,-0.007383728,-0.5135517,-1.2903446,-1.0833457,-1.1174843,-0.38155538
Angola,AGO,7,-0.031216431,0.30996457,-0.21089974,-0.033078194,-0.5442158,-1.1045682,-1.0750563,-0.8406742,-0.2169817
Angola,AGO,8,-0.046853255,0.2740078,-0.1607031,-0.15459614,-0.5593418,-1.3344758,-1.2698219,-1.1610333,-0.10433483
Angola,AGO,9,0.39831504,0.4763445,-0.14393826,-0.3891468,-0.6099283,-1.1361341,-1.2521751,-0.70761836,-0.087078094
Angola,AGO,10,0.8647415,0.6313404,-0.1809452,-0.6459522,-0.9638855,-1.12968,-1.1048625,-0.7506172,-0.580736
Angola,AGO,11,0.6290699,0.50080603,-0.19815731,-0.3500538,-0.29252928,-0.78282607,-1.0718979,-1.0168846,-0.9784508
Angola,AGO,12,0.9134594,0.104011156,-0.07395363,-0.10984592,0.064310454,-0.6264862,-0.6073185,-0.5867351,-0.6864235
Anguilla,AIA,1,0.41872153,0.15937805,-0.061175536,-0.14760132,-0.25382692,-0.3625763,-0.21191101,-0.5781128,-0.37892455
Anguilla,AIA,2,0.38882193,0.15193939,-0.08509674,-0.18428802,-0.29880828,-0.36136323,-0.16058502,-0.5284012,-0.22361603
Anguilla,AIA,3,0.41275278,0.13418122,-0.088832095,-0.13141327,-0.26027068,-0.43212432,-0.16580352,-0.4477768,-0.27527618
Anguilla,AIA,4,0.23662376,0.073632434,-0.026047135,-0.17148781,-0.2550663,-0.48644447,-0.25434914,-0.34038734,-0.411475
Anguilla,AIA,5,0.52052766,-0.0877182,0.025724793,-0.012892151,-0.23882905,-0.5154251,-0.26451874,-0.23721771,-0.4134964
Anguilla,AIA,6,0.4321022,0.027384186,-0.021083832,-0.07819748,-0.27608567,-0.51352465,-0.3717369,-0.28380966,-0.36787644
Anguilla,AIA,7,0.4715435,0.0073101046,0.021943282,-0.105141066,-0.18899116,-0.46899605,-0.2706501,-0.26892585,-0.31283456
Anguilla,AIA,8,0.48744163,0.09795189,-0.009247208,-0.11873512,-0.32406655,-0.54195595,-0.3344883,-0.34606972,-0.36968118
Anguilla,AIA,9,0.5686451,0.122197345,0.06406746,-0.20532647,-0.33676872,-0.56196404,-0.35506096,-0.3812359,-0.52836114
Anguilla,AIA,10,0.6630909,0.15084115,0.018245315,-0.21239738,-0.41131705,-0.5194073,-0.2918194,-0.34294853,-0.4888897
Anguilla,AIA,11,0.41944426,0.19313201,-0.011448669,-0.1790512,-0.37498322,-0.5169357,-0.31111908,-0.30685577,-0.4254532
Anguilla,AIA,12,0.34756508,0.16474648,0.013202285,-0.21577111,-0.391473,-0.53037375,-0.32942772,-0.31297874,-0.18709373
Antarctica (NIAID),,1,0.1332016,0.30710393,0.005836487,-0.30382577,0.19718513,0.35675126,-0.31589144,-0.07581367,-0.54446125
Antarctica (NIAID),,2,0.15177853,0.15281849,-0.30451068,0.0647461,-0.16967869,-0.6377913,0.02631855,-0.88941306,-0.75604403
Antarctica (NIAID),,3,0.6618862,-0.001744461,0.3525814,-0.26947516,0.56910515,-0.71897125,-0.33495253,-0.77414435,-0.35009345
Antarctica (NIAID),,4,0.47333068,-0.13877411,0.200214,-0.18442154,0.4149643,-0.5341495,-0.8181179,-1.1959896,-0.9024159
Antarctica (NIAID),,5,0.5001915,0.39342958,0.5406071,-1.0737083,0.2337513,-0.3356041,-1.3074448,-0.9846676,-0.688728
Antarctica (NIAID),,6,0.37840956,-0.9854256,0.4439434,0.28541604,-0.3788662,-0.53577346,-1.1520878,-1.5967929,-1.5539516
Antarctica (NIAID),,7,1.4317276,-0.6083786,0.23131791,0.4055645,0.21941681,-1.012096,-1.5109966,-2.72185,-1.6554619
Antarctica (NIAID),,8,0.5407387,0.4439003,-0.29527435,-0.21463737,0.009027863,-1.8062305,-2.2080085,-2.764899,-1.8981212
Antarctica (NIAID),,9,1.2668686,0.00557251,0.42351264,-0.7285355,0.15033302,-1.6796318,-1.4787605,-2.2527351,-1.4525585
Antarctica (NIAID),,10,0.5800499,0.82607424,-0.3298065,-0.4987301,-0.41561967,-1.1635113,-0.8210365,-0.8629532,-1.234438
Antarctica (NIAID),,11,-0.22507934,0.3911705,-0.18106632,-0.28221208,-1.208133,-1.1485726,-1.3288215,-1.4856589,-1.6522846
Antarctica (NIAID),,12,0.5408394,0.49921685,-0.11179886,-0.27235833,-0.19880828,-0.119672015,-0.8419855,-0.3077568,-1.1523907
Antigua and Barbuda,ATG,1,0.41032347,0.14258155,-0.03969078,-0.15560874,-0.30714685,-0.38874778,-0.18417625,-0.6015499,-0.36622888
Antigua and Barbuda,ATG,2,0.27762413,0.16157493,-0.09596901,-0.17328529,-0.33136025,-0.42145425,-0.14743385,-0.56095314,-0.26495704
Antigua and Barbuda,ATG,3,0.35109773,0.15182304,-0.06474495,-0.16396675,-0.3305195,-0.4709278,-0.11456795,-0.4838459,-0.2849781
Antigua and Barbuda,ATG,4,0.20179215,0.00012893676,0.03306656,-0.15475693,-0.33091354,-0.4933464,-0.24972764,-0.35939866,-0.43927535
Antigua and Barbuda,ATG,5,0.493771,-0.03576393,0.028850937,-0.06484413,-0.3171482,-0.56347084,-0.25611916,-0.2782322,-0.41154212
Antigua and Barbuda,ATG,6,0.44460335,0.056682207,-0.009168625,-0.12038384,-0.33877984,-0.51469535,-0.38072014,-0.3144726,-0.38564873
Antigua and Barbuda,ATG,7,0.43462905,0.014731598,0.033075713,-0.109047696,-0.25598374,-0.44438705,-0.2987755,-0.34255904,-0.42064744
Antigua and Barbuda,ATG,8,0.4450573,0.053028487,0.014970017,-0.10506477,-0.39242744,-0.5671528,-0.33038825,-0.3560322,-0.47983894
Antigua and Barbuda,ATG,9,0.5038654,0.12421455,0.07604561,-0.19842644,-0.36482963,-0.5603374,-0.41886407,-0.3874218,-0.62556267
Antigua and Barbuda,ATG,10,0.5785206,0.16412239,-0.0044109346,-0.19520989,-0.44823113,-0.49069634,-0.32502252,-0.3906048,-0.45041314
Antigua and Barbuda,ATG,11,0.38871497,0.17470741,0.028134536,-0.19942895,-0.44633752,-0.4865322,-0.31958276,-0.360046,-0.4520809
Antigua and Barbuda,ATG,12,0.27992058,0.13518791,0.05454216,-0.20939216,-0.3872425,-0.5486042,-0.22871284,-0.323592,-0.17856637
Arctic Ocean (NIAID),,1,0.90427524,1.4551091,0.2020298,-1.6927996,-1.443517,-1.9352353,-3.54952,-3.4904442,-2.6704018
Arctic Ocean (NIAID),,2,1.3725387,1.6094296,-0.2843542,-1.4035215,-0.7495947,-2.696897,-3.5762925,-3.541179,-2.9116046
Arctic Ocean (NIAID),,3,0.45755562,1.2958199,-0.46487504,-0.72305983,-1.1205965,-2.0780842,-3.6451735,-3.1585715,-2.6406078
Arctic Ocean (NIAID),,4,0.09119034,0.88277304,-0.26274052,-0.63634175,-1.9326254,-2.5590553,-2.7976856,-2.2815907,-2.119014
Arctic Ocean (NIAID),,5,0.40498418,0.35570374,-0.021194816,-0.3535717,-0.7387417,-1.3240061,-1.6011479,-1.016525,-0.7629498
Arctic Ocean (NIAID),,6,0.27549192,0.18198201,-0.046340287,-0.16695304,-0.29705638,-0.39661103,-0.4042973,-0.17165503,-0.101323366
Arctic Ocean (NIAID),,7,0.38936657,0.31243777,-0.06640983,-0.32611558,-0.49095044,-0.44974628,-0.5302046,-0.46686834,-0.6285203
Arctic Ocean (NIAID),,8,0.89649904,0.41915146,-0.026564931,-0.5375042,-0.7532044,-0.75298613,-0.9056484,-0.72344494,-0.9399904
Arctic Ocean (NIAID),,9,1.2273514,0.74703896,-0.05166769,-0.8905528,-1.5252281,-1.4449284,-1.7656431,-1.4432503,-1.5504972
Arctic Ocean (NIAID),,10,2.0707822,1.3732736,0.20494983,-2.0927796,-2.1214867,-2.5294518,-2.7073598,-1.9303137,-1.6894963
Arctic Ocean (NIAID),,11,1.367865,0.9824278,-0.1398387,-1.5957434,-2.8368688,-3.3080134,-3.391399,-3.2571895,-3.3730617
Arctic Ocean (NIAID),,12,1.5423181,1.0015492,0.5879283,-2.0440755,-1.9976368,-2.962993,-2.8426049,-3.504689,-3.0638623
Argentina,ARG,1,0.876427,0.46201593,-0.01134224,-0.4848198,-0.13529721,-0.6476,-0.5054785,-0.9182394,-0.7171215
Argentina,ARG,2,0.96824676,0.40400258,0.22420254,-0.66039675,0.06371079,-0.367803,-0.2533905,-0.26264724,-0.10069732
Argentina,ARG,3,0.9027545,-0.1969736,0.0565403,-0.15438099,-0.0954174,-0.70501965,-0.6609823,-0.24892159,-0.6209427
Argentina,ARG,4,0.506711,0.31375113,-0.035605527,-0.44450587,-0.22116756,-0.3342859,-0.3311839,-0.70320904,-0.30457354
Argentina,ARG,5,-0.45337716,0.31844884,-0.60163796,0.15563917,-0.2063055,-0.20221862,0.35414973,-0.19765787,-0.4165925
Argentina,ARG,6,0.3218178,0.13580656,0.039875172,-0.2659282,-0.5748737,-0.39051333,-0.29307437,-0.42097402,-0.39523372
Argentina,ARG,7,0.45175248,0.199411,0.10815053,-0.23321576,-0.08075099,0.35211945,0.09793015,0.28540248,-0.3229795
Argentina,ARG,8,0.4624962,0.20673466,-0.23220754,0.13314342,-0.37781873,-0.78108287,-0.32524648,-0.8506805,-1.1017716
Argentina,ARG,9,0.74839556,0.39876452,-0.35867053,-0.22596769,-0.71513623,-0.21217337,-0.6970358,-1.1592873,-0.52899456
Argentina,ARG,10,0.7136755,-0.080565356,0.2942585,-0.19936696,-0.20005837,-0.52468807,-0.7606549,-1.2286019,-1.4971721
Argentina,ARG,11,0.8740326,0.26103172,-0.11990948,-0.2225668,-0.15286064,-0.7088167,-0.16598415,-0.64320487,-0.9568919
Argentina,ARG,12,0.5420475,0.46776924,-0.30470982,-0.23018856,-0.06623497,-0.5439228,-0.519849,-0.6067625,-0.5814989
Armenia,ARM,1,1.3457936,1.0106038,-1.0229839,-0.24287555,-0.30360615,-1.5481346,-0.33709532,-0.874877,-1.3999989
Armenia,ARM,2,1.2639303,0.92279994,0.1299599,-1.1390493,-1.0137814,-0.77174807,-0.5007304,-0.795779,-1.7109272
Armenia,ARM,3,1.4060987,0.77141005,0.27357912,-1.3718013,-1.6029793,-0.88573676,-1.1999061,-1.6311725,-2.9403331
Armenia,ARM,4,2.1919174,0.49494988,-0.15311232,-0.33279637,0.02275846,-0.25993913,-1.3977487,-0.475421,-2.2592595
Armenia,ARM,5,0.50375193,0.7587637,-0.3882886,-0.5777944,-0.75057423,-0.7158777,-0.2735896,-0.480208,-0.9507996
Armenia,ARM,6,1.4690907,0.8337801,-0.21923065,-0.72883904,-0.7942138,-1.3740691,-1.1521552,-1.2626814,-1.2383829
Armenia,ARM,7,0.3421318,0.7149601,-0.12913628,-0.63795453,-0.13224907,-0.78155786,-1.0335768,-0.9480653,-0.7706192
Armenia,ARM,8,0.5963688,0.5001076,0.08375092,-0.55005836,-1.3744264,-1.1462694,-1.2767297,-0.72374094,-1.3560519
Armenia,ARM,9,0.81713426,0.51261204,0.12430458,-0.7622981,-0.6529778,-0.5512201,-1.1013927,-0.75101316,-0.9808901
Armenia,ARM,10,0.19248763,-0.19421855,0.36800846,-0.35241738,-1.7067137,-1.1400839,-0.94322205,-0.94167006,-1.42337
Armenia,ARM,11,1.9233662,0.18120968,0.20301017,-0.2934695,-0.55037045,-0.40607604,0.7894565,-0.9635869,0.011460316
Armenia,ARM,12,1.7997897,0.5959494,-0.5289551,-0.0068765404,-0.21792181,-1.4507382,0.9865904,-1.0589058,-1.4989645
Asia (NIAID),,1,0.73078376,0.009193515,-0.08535834,-0.25207195,-0.4620596,-1.3346621,-1.1108711,-1.1513157,-0.686193
Asia (NIAID),,2,0.90295845,-0.11708671,-0.10032346,-0.053114615,-1.0648134,-1.7881733,-1.4684622,-1.8807514,-1.1242598
Asia (NIAID),,3,1.1360255,0.54276115,0.2685687,-0.8633176,-1.4180815,-1.5402486,-1.1810368,-1.7952925,-1.2685511
Asia (NIAID),,4,0.7758377,0.5563487,-0.09355173,-0.6320278,-1.0971382,-0.9255888,-1.567633,-1.4870464,-0.79713535
Asia (NIAID),,5,0.71848357,0.32138452,0.0444643,-0.4930358,-0.8038136,-0.9996048,-1.0798224,-1.1451946,-0.83019763
Asia (NIAID),,6,0.7443401,0.48995,-0.014656639,-0.5485023,-0.8642149,-1.0038038,-1.1785208,-1.0340741,-0.91667175
Asia (NIAID),,7,0.7466682,0.3075672,-0.075761035,-0.32272035,-0.58670104,-0.86061954,-0.7926216,-0.84134865,-0.75532323
Asia (NIAID),,8,0.6746098,0.3366499,0.0007762909,-0.41550368,-0.5839054,-0.9388256,-0.87347585,-0.76349163,-0.6279303
Asia (NIAID),,9,0.8186146,0.32154894,0.094394304,-0.55607253,-0.5798726,-0.663659,-0.91152763,-0.62294465,-0.6198944
Asia (NIAID),,10,0.8827419,0.33446035,0.01775961,-0.41438895,-0.929043,-1.2536452,-1.2333251,-1.049523,-0.77568483
Asia (NIAID),,11,1.3931504,0.22818573,0.14408545,-0.52318233,-0.72877747,-0.86268634,-1.352449,-1.5134866,-1.1152449
Asia (NIAID),,12,0.44435245,0.34484974,-0.16473491,-0.080242775,-0.16748326,-0.7741991,-1.0330931,-1.0509155,-1.3100437
Australia,AUS,1,0.2363135,0.2481102,-0.14210606,-0.14340076,-0.31577682,-0.72540206,-0.5368496,-0.4454809,-0.27850628
Australia,AUS,2,0.2822218,0.2174286,-0.108911134,-0.21374854,0.00017261505,-0.5771187,-0.4891613,-0.39441413,-0.69910985
Australia,AUS,3,0.5436411,0.25408936,-0.22384453,0.055948067,-0.1872137,-0.42044964,-0.16498604,0.39632338,-0.18357468
Australia,AUS,4,-0.2147396,0.18913785,0.010836983,-0.32879162,-0.15492973,-0.7299007,0.072919086,0.058102228,-0.46938342
Australia,AUS,5,-0.3373932,0.03056717,-0.1263216,0.2749918,0.34888038,-0.5429703,-0.32378644,0.046727944,-0.24173069
Australia,AUS,6,0.15766983,-0.06566467,-0.2531847,0.18130521,-0.2816227,-0.49495584,0.08638477,0.011371518,-0.37829667
Australia,AUS,7,0.02789154,0.18302336,-0.13147382,-0.06391802,-0.6839485,-0.52451533,-0.5899707,-0.5606063,-0.15912314
Australia,AUS,8,1.039809,-0.024378682,-0.09515276,-0.017864991,-0.09579716,-0.54238987,-0.6505931,-0.41440964,-0.25268584
Australia,AUS,9,0.56574667,-0.12842675,0.15566711,-0.25306225,-0.22233447,-1.275322,-0.6618227,-0.4811899,-0.6765671
Australia,AUS,10,0.09280129,0.43281764,-0.097034834,-0.3454302,-0.3643097,-1.0440985,-0.10742454,-0.41684324,-0.5463114
Australia,AUS,11,-0.077985,0.21417694,0.11493492,-0.37994957,-0.30366382,-0.7728222,-0.11398049,-0.04643326,-0.117583275
Australia,AUS,12,0.3281826,0.5747446,-0.022112083,-0.38028735,-0.0118255615,-0.021378517,-0.44431227,-0.06936474,-0.06018009
Australia (NIAID),,1,0.23660977,0.24795322,-0.14213677,-0.14330292,-0.31551704,-0.72486556,-0.5371725,-0.4456358,-0.27905482
Australia (NIAID),,2,0.28225484,0.21745034,-0.108934596,-0.21365681,-0.00023517609,-0.5771507,-0.48952445,-0.39464188,-0.69959414
Australia (NIAID),,3,0.5434952,0.2539877,-0.22380295,0.05590267,-0.18741913,-0.42076188,-0.16558877,0.39539832,-0.18474217
Australia (NIAID),,4,-0.21383896,0.18911266,0.010601806,-0.32838687,-0.15495491,-0.72967166,0.07244358,0.05747242,-0.46978933
Australia (NIAID),,5,-0.3366173,0.030673599,-0.12629299,0.27468854,0.348662,-0.54272234,-0.32368127,0.046515655,-0.2419487
Australia (NIAID),,6,0.15809783,-0.06561804,-0.25297403,0.18109103,-0.28138494,-0.49469346,0.08606167,0.011184121,-0.37816343
Australia (NIAID),,7,0.02831154,0.18303995,-0.13158636,-0.063847825,-0.68345773,-0.5243662,-0.58963954,-0.56017053,-0.15953855
Australia (NIAID),,8,1.0394847,-0.024230957,-0.095207594,-0.017963504,-0.09561596,-0.5417655,-0.64999855,-0.4141717,-0.2530033
Australia (NIAID),,9,0.56583405,-0.12817994,0.15533257,-0.25288144,-0.22205487,-1.27388,-0.661454,-0.4814314,-0.6765528
Australia (NIAID),,10,0.093644716,0.4323637,-0.09693794,-0.34517136,-0.363768,-1.0430691,-0.10777569,-0.41660804,-0.5461138
Australia (NIAID),,11,-0.07733879,0.21402816,0.11480503,-0.37966806,-0.30329323,-0.7721325,-0.11428509,-0.04682865,-0.118040465
Australia (NIAID),,12,0.3281971,0.574242,-0.022027398,-0.37999496,-0.011967087,-0.021987151,-0.44434184,-0.06985779,-0.061044503
