Entity,Code,Year,Annual sea surface temperature anomalies,Annual sea surface temperature anomalies (lower bound),Annual sea surface temperature anomalies (upper bound)
Southern Hemisphere,,1862,-0.03246589,-0.06280456,0.004078116
Southern Hemisphere,,1863,-0.025829779,-0.056571584,0.011397708
Southern Hemisphere,,1864,-0.11074052,-0.13978915,-0.07292116
Southern Hemisphere,,1865,0.04379327,0.0154071925,0.080802515
Southern Hemisphere,,1866,0.05623981,0.027413584,0.09256757
Southern Hemisphere,,1867,0.03947482,0.012897703,0.07589193
Southern Hemisphere,,1868,0.0062769153,-0.020309446,0.04086215
Southern Hemisphere,,1869,-0.08446575,-0.11207942,-0.05091484
Southern Hemisphere,,1870,-0.011192047,-0.03717215,0.022055535
Southern Hemisphere,,1871,0.059424922,0.03518065,0.0919846
Southern Hemisphere,,1872,0.04936323,0.024873314,0.082389235
Southern Hemisphere,,1873,0.00034645773,-0.02512092,0.030640071
Southern Hemisphere,,1874,-0.12165633,-0.14661591,-0.08965931
Southern Hemisphere,,1875,0.056861646,0.02925662,0.089821115
Southern Hemisphere,,1876,-0.10324659,-0.13046387,-0.07174807
Southern Hemisphere,,1877,0.17152396,0.14204381,0.20233124
Southern Hemisphere,,1878,0.20079967,0.17136702,0.23442191
Southern Hemisphere,,1879,0.093616664,0.063952565,0.12561318
Southern Hemisphere,,1880,0.09273449,0.06066101,0.12577054
Southern Hemisphere,,1881,0.15829599,0.12525554,0.19137964
Southern Hemisphere,,1882,0.12397703,0.08676195,0.157613
Southern Hemisphere,,1883,0.09158801,0.05835181,0.12504464
Southern Hemisphere,,1884,-0.032641202,-0.06755852,0.0016885725
Southern Hemisphere,,1885,-0.09824129,-0.13305281,-0.061925337
Southern Hemisphere,,1886,-0.090321764,-0.12713154,-0.050388012
Southern Hemisphere,,1887,-0.1789421,-0.21937893,-0.1385674
Southern Hemisphere,,1888,-0.05212944,-0.09280559,-0.01348086
Southern Hemisphere,,1889,0.08383129,0.04233922,0.12446389
Southern Hemisphere,,1890,-0.14962666,-0.19340296,-0.106682
